"UID DA TOMADA","CIDADE","MORADA","OPERADOR","CCS2 Custo €","TYPE2 7kW Custo €","TYPE2 22kW Custo €","Duração (minutos) até 130kW","Duração (minutos) até 7kW","Duração (minutos) até 22kW","TARIFA 1","TARIFA 2","TARIFA 3","TIPO DE TOMADA","POTÊNCIA DA TOMADA (kW)","FORMATO DA TOMADA","ESTADO DO POSTO","ESTADO DA TOMADA"
ALM-00014-1,Almada,Praia da Rainha,MOB - MOBI.E,"0.000","0.000","0.000","758","0","0",€0/min ,"","",Mennekes,"3,7",SOCKET,Disponível,Em uso
ALM-00014-2,Almada,Praia da Rainha,MOB - MOBI.E,"0.000","0.000","0.000","758","0","0",€0/min ,"","",Mennekes,"3,7",SOCKET,Disponível,Disponível
ALM-90007-02,Almada,Avenida Bento Gonçalves,KLC - Atlante,"0.000","0.000","0.000","758","0","0",€0/min ,"","",Mennekes,"3,7",SOCKET,Disponível,Disponível
ALM-90007-01,Almada,Avenida Bento Gonçalves,KLC - Atlante,"0.000","0.000","0.000","758","0","0",€0/min ,"","",Mennekes,"3,7",SOCKET,Disponível,Em uso
OBD-00004-1,Óbidos,Largo de S. Pedro,PRI - Prio,"0.000","0.000","0.000","758","0","0",€0/min ,"","",Mennekes,"3,7",SOCKET,Disponível,Disponível
TND-00002-1,Tondela,Rua Doutor Amadeu Ferraz de Carvalho,MOB - MOBI.E,"0.000","0.000","0.000","758","0","0",€0/min ,"","",Mennekes,"3,7",SOCKET,Disponível,Disponível
TND-00002-2,Tondela,Rua Doutor Amadeu Ferraz de Carvalho,MOB - MOBI.E,"0.000","0.000","0.000","758","0","0",€0/min ,"","",Mennekes,"3,7",SOCKET,Disponível,Disponível
FUN-00035-02,Funchal,"Edifício 2000, Av. Calouste Gulbenkien",FAC - Factor Energia,"0.000","0.000","0.000","255","0","0",€0/min ,"","",Mennekes,"11",SOCKET,Disponível,Disponível
FUN-00035-01,Funchal,"Edifício 2000, Av. Calouste Gulbenkien",FAC - Factor Energia,"0.000","0.000","0.000","255","0","0",€0/min ,"","",Mennekes,"11",SOCKET,Disponível,Disponível
MLD-00001-1,Mealhada,Churrasqueira Rocha,EVC - Evce,"0.000","0.000","0.000","255","0","0",€0/min ,"","",Mennekes,"11",SOCKET,Disponível,Disponível
MLD-00001-2,Mealhada,Churrasqueira Rocha,EVC - Evce,"0.000","0.000","0.000","255","0","0",€0/min ,"","",Mennekes,"11",SOCKET,Disponível,Em uso
FUN-00006-01,Funchal,Rua Nova do Vale da Ajuda,FAC - Factor Energia,"0.000","0.000","0.000","127","0","0",€0/min ,"","",Mennekes,"22",SOCKET,Disponível,Em uso
FUN-00006-02,Funchal,Rua Nova do Vale da Ajuda,FAC - Factor Energia,"0.000","0.000","0.000","127","0","0",€0/min ,"","",Mennekes,"22",SOCKET,Disponível,Disponível
FUN-00007-01,Funchal,Caminho do Poço Barral,FAC - Factor Energia,"0.000","0.000","0.000","127","0","0",€0/min ,"","",Mennekes,"22",SOCKET,Disponível,Disponível
FUN-00007-02,Funchal,Caminho do Poço Barral,FAC - Factor Energia,"0.000","0.000","0.000","127","0","0",€0/min ,"","",Mennekes,"22",SOCKET,Disponível,Disponível
FUN-00010-02,Funchal,Avenida das Madalenas,FAC - Factor Energia,"0.000","0.000","0.000","127","0","0",€0/min ,"","",Mennekes,"22",SOCKET,Disponível,Disponível
FUN-00010-01,Funchal,Avenida das Madalenas,FAC - Factor Energia,"0.000","0.000","0.000","127","0","0",€0/min ,"","",Mennekes,"22",SOCKET,Disponível,Disponível
FUN-00011-01,Funchal,Madeira Tecnopolo - Caminho da Penteada,FAC - Factor Energia,"0.000","0.000","0.000","127","0","0",€0/min ,"","",Mennekes,"22",SOCKET,Disponível,Em uso
FUN-00011-02,Funchal,Madeira Tecnopolo - Caminho da Penteada,FAC - Factor Energia,"0.000","0.000","0.000","127","0","0",€0/min ,"","",Mennekes,"22",SOCKET,Disponível,Disponível
FUN-00015-02,Funchal,Rua dos Ferreiros,FAC - Factor Energia,"0.000","0.000","0.000","127","0","0",€0/min ,"","",Mennekes,"22",SOCKET,Disponível,Em uso
FUN-00015-01,Funchal,Rua dos Ferreiros,FAC - Factor Energia,"0.000","0.000","0.000","127","0","0",€0/min ,"","",Mennekes,"22",SOCKET,Disponível,Disponível
FUN-00016-01,Funchal,Rua Nova da Igreja,FAC - Factor Energia,"0.000","0.000","0.000","127","0","0",€0/min ,"","",Mennekes,"22",SOCKET,Disponível,Disponível
FUN-00016-02,Funchal,Rua Nova da Igreja,FAC - Factor Energia,"0.000","0.000","0.000","127","0","0",€0/min ,"","",Mennekes,"22",SOCKET,Disponível,Disponível
PMZ-00004-02,Porto Moniz,Praça do Lyra,FAC - Factor Energia,"0.000","0.000","0.000","127","0","0",€0/min ,"","",Mennekes,"22",SOCKET,Disponível,Disponível
PMZ-00004-01,Porto Moniz,Praça do Lyra,FAC - Factor Energia,"0.000","0.000","0.000","127","0","0",€0/min ,"","",Mennekes,"22",CABLE,Disponível,Disponível
PMZ-00005-01,Porto Moniz,Estrada Regional 101 - Santa,FAC - Factor Energia,"0.000","0.000","0.000","127","0","0",€0/min ,"","",Mennekes,"22",SOCKET,Disponível,Disponível
PMZ-00005-02,Porto Moniz,Estrada Regional 101 - Santa,FAC - Factor Energia,"0.000","0.000","0.000","127","0","0",€0/min ,"","",Mennekes,"22",SOCKET,Disponível,Disponível
SCR-00002-1,Santa Cruz,Aeroportos da Madeira,FAC - Factor Energia,"0.000","0.000","0.000","127","0","0",€0/min ,"","",Mennekes,"22",SOCKET,Disponível,Disponível
SCR-00002-2,Santa Cruz,Aeroportos da Madeira,FAC - Factor Energia,"0.000","0.000","0.000","127","0","0",€0/min ,"","",Mennekes,"22",SOCKET,Disponível,Disponível
SCR-00003-2,Santa Cruz,Aeroportos da Madeira,FAC - Factor Energia,"0.000","0.000","0.000","127","0","0",€0/min ,"","",Mennekes,"22",SOCKET,Disponível,Disponível
SCR-00003-1,Santa Cruz,Aeroportos da Madeira,FAC - Factor Energia,"0.000","0.000","0.000","127","0","0",€0/min ,"","",Mennekes,"22",SOCKET,Disponível,Disponível
SCR-00004-1,Santa Cruz,Aeroportos da Madeira,FAC - Factor Energia,"0.000","0.000","0.000","127","0","0",€0/min ,"","",Mennekes,"22",SOCKET,Disponível,Disponível
SCR-00004-2,Santa Cruz,Aeroportos da Madeira,FAC - Factor Energia,"0.000","0.000","0.000","127","0","0",€0/min ,"","",Mennekes,"22",SOCKET,Disponível,Disponível
VRL-00014-02,Vila Real,Avenida Rainha Santa Isabel,GLD - Goldenergy,"0.000","0.000","0.000","127","0","0",€0/min ,"","",Mennekes,"22",SOCKET,Disponível,Disponível
VRL-00014-01,Vila Real,Avenida Rainha Santa Isabel,GLD - Goldenergy,"0.000","0.000","0.000","127","0","0",€0/min ,"","",Mennekes,"22",SOCKET,Disponível,Disponível
VFX-00006-1,Vila Franca de Xira,Rua Irene Lisboa,KLC - Atlante,"0.166","0.166","0.166","390","0","0","€0,1657/charge ","","",Mennekes,"7,2",SOCKET,Disponível,Disponível
LLE-00111-01,Loulé,MAR Shopping Algarve – Av. Algarve,GLP - Galp,"0.261","0.261","0.261","379","0","0","€0,2608/charge ","","",Mennekes,"7,4",SOCKET,Disponível,Em uso
LLE-00111-02,Loulé,MAR Shopping Algarve – Av. Algarve,GLP - Galp,"0.261","0.261","0.261","379","0","0","€0,2608/charge ","","",Mennekes,"7,4",SOCKET,Disponível,Disponível
LLE-00112-01,Loulé,MAR Shopping Algarve – Av. Algarve,GLP - Galp,"0.261","0.261","0.261","379","0","0","€0,2608/charge ","","",Mennekes,"7,4",SOCKET,Disponível,Em uso
LLE-00112-02,Loulé,MAR Shopping Algarve – Av. Algarve,GLP - Galp,"0.261","0.261","0.261","379","0","0","€0,2608/charge ","","",Mennekes,"7,4",SOCKET,Disponível,Disponível
LLE-00113-01,Loulé,MAR Shopping Algarve – Av. Algarve,GLP - Galp,"0.261","0.261","0.261","379","0","0","€0,2608/charge ","","",Mennekes,"7,4",SOCKET,Disponível,Em uso
LLE-00113-02,Loulé,MAR Shopping Algarve – Av. Algarve,GLP - Galp,"0.261","0.261","0.261","379","0","0","€0,2608/charge ","","",Mennekes,"7,4",SOCKET,Disponível,Disponível
MTS-00078-01,Matosinhos,Av. Dr. Óscar Lopes,GLP - Galp,"0.261","0.261","0.261","379","0","0","€0,2608/charge ","","",Mennekes,"7,4",SOCKET,Disponível,Disponível
MTS-00078-02,Matosinhos,Av. Dr. Óscar Lopes,GLP - Galp,"0.261","0.261","0.261","379","0","0","€0,2608/charge ","","",Mennekes,"7,4",SOCKET,Disponível,Em uso
MTS-00079-02,Matosinhos,Av. Dr. Óscar Lopes,GLP - Galp,"0.261","0.261","0.261","379","0","0","€0,2608/charge ","","",Mennekes,"7,4",SOCKET,Disponível,Disponível
MTS-00079-01,Matosinhos,Av. Dr. Óscar Lopes,GLP - Galp,"0.261","0.261","0.261","379","0","0","€0,2608/charge ","","",Mennekes,"7,4",SOCKET,Disponível,Em uso
MTS-00080-01,Matosinhos,Av. Dr. Óscar Lopes,GLP - Galp,"0.261","0.261","0.261","379","0","0","€0,2608/charge ","","",Mennekes,"7,4",SOCKET,Disponível,Em uso
MTS-00080-02,Matosinhos,Av. Dr. Óscar Lopes,GLP - Galp,"0.261","0.261","0.261","379","0","0","€0,2608/charge ","","",Mennekes,"7,4",SOCKET,Disponível,Disponível
LLE-00108-01,Loulé,MAR Shopping Algarve – Av. Algarve,GLP - Galp,"0.261","0.261","0.261","127","0","0","€0,2608/charge ","","",Mennekes,"22",SOCKET,Disponível,Disponível
LLE-00108-02,Loulé,MAR Shopping Algarve – Av. Algarve,GLP - Galp,"0.261","0.261","0.261","127","0","0","€0,2608/charge ","","",Mennekes,"22",SOCKET,Disponível,Em uso
LLE-00109-02,Loulé,MAR Shopping Algarve – Av. Algarve,GLP - Galp,"0.261","0.261","0.261","127","0","0","€0,2608/charge ","","",Mennekes,"22",SOCKET,Disponível,Em uso
LLE-00109-01,Loulé,MAR Shopping Algarve – Av. Algarve,GLP - Galp,"0.261","0.261","0.261","127","0","0","€0,2608/charge ","","",Mennekes,"22",SOCKET,Disponível,Disponível
MTS-00075-01,Matosinhos,Av. Dr. Óscar Lopes,GLP - Galp,"0.261","0.261","0.261","127","0","0","€0,2608/charge ","","",Mennekes,"22",SOCKET,Disponível,Em uso
MTS-00075-02,Matosinhos,Av. Dr. Óscar Lopes,GLP - Galp,"0.261","0.261","0.261","127","0","0","€0,2608/charge ","","",Mennekes,"22",SOCKET,Disponível,Disponível
LLE-00107-02,Loulé,MAR Shopping Algarve – Av. Algarve,GLP - Galp,"0.261","0.261","0.261","46","0","0","€0,2608/charge ","","",CCS,"60",CABLE,Disponível,Disponível
LLE-00107-01,Loulé,MAR Shopping Algarve – Av. Algarve,GLP - Galp,"0.261","0.261","0.261","46","0","0","€0,2608/charge ","","",CHAdeMO,"60",CABLE,Disponível,Disponível
MTS-00074-01,Matosinhos,Av. Dr. Óscar Lopes,GLP - Galp,"0.261","0.261","0.261","46","0","0","€0,2608/charge ","","",CHAdeMO,"60",CABLE,Disponível,Disponível
MTS-00074-02,Matosinhos,Av. Dr. Óscar Lopes,GLP - Galp,"0.261","0.261","0.261","46","0","0","€0,2608/charge ","","",CCS,"60",CABLE,Disponível,Disponível
ACH-00004-2,Alcochete,Avenida Euro 2004,KLC - Atlante,"0.296","0.296","0.296","127","0","0","€0,2964/charge ","","",Mennekes,"22",SOCKET,Disponível,Disponível
ACH-00004-1,Alcochete,Avenida Euro 2004,KLC - Atlante,"0.296","0.296","0.296","127","0","0","€0,2964/charge ","","",Mennekes,"22",SOCKET,Disponível,Em uso
ALB-00001-2,Albergaria-a-Velha,Aveinda 5 de Outubro,KLC - Atlante,"0.296","0.296","0.296","127","0","0","€0,2964/charge ","","",Mennekes,"22",SOCKET,Disponível,Disponível
ALB-00001-1,Albergaria-a-Velha,Aveinda 5 de Outubro,KLC - Atlante,"0.296","0.296","0.296","127","0","0","€0,2964/charge ","","",Mennekes,"22",SOCKET,Disponível,Disponível
TBC-00001-1,Tabuaço,Rua Macedo Pinto,KLC - Atlante,"0.296","0.296","0.296","127","0","0","€0,2964/charge ","","",Mennekes,"22",SOCKET,Disponível,Disponível
TBC-00001-2,Tabuaço,Rua Macedo Pinto,KLC - Atlante,"0.296","0.296","0.296","127","0","0","€0,2964/charge ","","",Mennekes,"22",SOCKET,Disponível,Disponível
VCD-00003-2,Vila do Conde,Avenida Fonte Cova,KLC - Atlante,"0.296","0.296","0.296","127","0","0","€0,2964/charge ","","",Mennekes,"22",SOCKET,Disponível,Disponível
VCD-00003-1,Vila do Conde,Avenida Fonte Cova,KLC - Atlante,"0.296","0.296","0.296","127","0","0","€0,2964/charge ","","",Mennekes,"22",SOCKET,Disponível,Em uso
VLC-00003-2,Vale de Cambra,R. Dr. Domingos de Almeida Brandão,KLC - Atlante,"0.296","0.296","0.296","127","0","0","€0,2964/charge ","","",Mennekes,"22",SOCKET,Disponível,Disponível
VLC-00003-1,Vale de Cambra,R. Dr. Domingos de Almeida Brandão,KLC - Atlante,"0.296","0.296","0.296","127","0","0","€0,2964/charge ","","",Mennekes,"22",SOCKET,Disponível,Em uso
VLC-00005-01,Vale de Cambra,Av. Vale do Caima,KLC - Atlante,"0.296","0.296","0.296","127","0","0","€0,2964/charge ","","",Mennekes,"22",SOCKET,Disponível,Disponível
VLC-00005-02,Vale de Cambra,Av. Vale do Caima,KLC - Atlante,"0.296","0.296","0.296","127","0","0","€0,2964/charge ","","",Mennekes,"22",SOCKET,Disponível,Disponível
LSB-00075-02,Lisboa,"Avenida Antonio Augusto Aguiar, 132",EDP - EDP Comercial,"0.297","0.297","0.297","255","0","0","€0,297/charge ","","",Mennekes,"11",SOCKET,Disponível,Disponível
LSB-00075-01,Lisboa,"Avenida Antonio Augusto Aguiar, 132",EDP - EDP Comercial,"0.297","0.297","0.297","255","0","0","€0,297/charge ","","",Mennekes,"11",SOCKET,Disponível,Disponível
LSB-00077-01,Lisboa,"Avenida Antonio Augusto Aguiar, 132",EDP - EDP Comercial,"0.297","0.297","0.297","255","0","0","€0,297/charge ","","",Mennekes,"11",SOCKET,Disponível,Disponível
LSB-00077-02,Lisboa,"Avenida Antonio Augusto Aguiar, 132",EDP - EDP Comercial,"0.297","0.297","0.297","255","0","0","€0,297/charge ","","",Mennekes,"11",SOCKET,Disponível,Disponível
LSB-00082-01,Lisboa,"Avenida Antonio Augusto Aguiar, 132",EDP - EDP Comercial,"0.297","0.297","0.297","255","0","0","€0,297/charge ","","",Mennekes,"11",SOCKET,Disponível,Disponível
LSB-00082-02,Lisboa,"Avenida Antonio Augusto Aguiar, 132",EDP - EDP Comercial,"0.297","0.297","0.297","255","0","0","€0,297/charge ","","",Mennekes,"11",SOCKET,Disponível,Disponível
LSB-00086-02,Lisboa,"Avenida Antonio Augusto Aguiar, 132",EDP - EDP Comercial,"0.297","0.297","0.297","127","0","0","€0,297/charge ","","",Mennekes,"22",SOCKET,Disponível,Disponível
LSB-00086-01,Lisboa,"Avenida Antonio Augusto Aguiar, 132",EDP - EDP Comercial,"0.297","0.297","0.297","127","0","0","€0,297/charge ","","",Mennekes,"22",SOCKET,Disponível,Em uso
SNT-00095-02,Sintra,"Rua Matos Cruzadas EN9, Quinta da Beloura II",HRZ - Power dot,"0.300","0.300","0.300","379","0","0","€0,3/charge ","","",Mennekes,"7,4",SOCKET,Disponível,Disponível
SNT-00095-01,Sintra,"Rua Matos Cruzadas EN9, Quinta da Beloura II",HRZ - Power dot,"0.300","0.300","0.300","379","0","0","€0,3/charge ","","",Mennekes,"7,4",SOCKET,Disponível,Disponível
SNT-00096-01,Sintra,"Rua Matos Cruzadas EN9, Quinta da Beloura II",HRZ - Power dot,"0.300","0.300","0.300","379","0","0","€0,3/charge ","","",Mennekes,"7,4",SOCKET,Disponível,Disponível
SNT-00096-02,Sintra,"Rua Matos Cruzadas EN9, Quinta da Beloura II",HRZ - Power dot,"0.300","0.300","0.300","379","0","0","€0,3/charge ","","",Mennekes,"7,4",SOCKET,Disponível,Disponível
CSC-00104-01,Cascais,Rua Dr. Fernando MF Batista Viegas,"CSC - Cascais Próxima – Gestão de Mobilidade, Espaços Urbanos e Energias, E.M. S.A","0.370","0.370","0.370","127","0","0","€0,37/charge ","","",Mennekes,"22",SOCKET,Disponível,Disponível
CSC-00104-02,Cascais,Rua Dr. Fernando MF Batista Viegas,"CSC - Cascais Próxima – Gestão de Mobilidade, Espaços Urbanos e Energias, E.M. S.A","0.370","0.370","0.370","127","0","0","€0,37/charge ","","",Mennekes,"22",SOCKET,Disponível,Disponível
CSC-00105-02,Cascais,Avenida da Republica,"CSC - Cascais Próxima – Gestão de Mobilidade, Espaços Urbanos e Energias, E.M. S.A","0.370","0.370","0.370","127","0","0","€0,37/charge ","","",Mennekes,"22",SOCKET,Disponível,Em uso
CSC-00105-01,Cascais,Avenida da Republica,"CSC - Cascais Próxima – Gestão de Mobilidade, Espaços Urbanos e Energias, E.M. S.A","0.370","0.370","0.370","127","0","0","€0,37/charge ","","",Mennekes,"22",SOCKET,Disponível,Disponível
CSC-00106-01,Cascais,Avenida Tenente Coronel Melo Antunes,"CSC - Cascais Próxima – Gestão de Mobilidade, Espaços Urbanos e Energias, E.M. S.A","0.370","0.370","0.370","127","0","0","€0,37/charge ","","",Mennekes,"22",SOCKET,Disponível,Em uso
CSC-00106-02,Cascais,Avenida Tenente Coronel Melo Antunes,"CSC - Cascais Próxima – Gestão de Mobilidade, Espaços Urbanos e Energias, E.M. S.A","0.370","0.370","0.370","127","0","0","€0,37/charge ","","",Mennekes,"22",SOCKET,Disponível,Disponível
CSC-00108-02,Cascais,Avenida Tenente Coronel Melo Antunes,"CSC - Cascais Próxima – Gestão de Mobilidade, Espaços Urbanos e Energias, E.M. S.A","0.370","0.370","0.370","127","0","0","€0,37/charge ","","",Mennekes,"22",SOCKET,Disponível,Disponível
CSC-00108-01,Cascais,Avenida Tenente Coronel Melo Antunes,"CSC - Cascais Próxima – Gestão de Mobilidade, Espaços Urbanos e Energias, E.M. S.A","0.370","0.370","0.370","127","0","0","€0,37/charge ","","",Mennekes,"22",SOCKET,Disponível,Disponível
CSC-00109-02,Cascais,Rua Dom. Francisco de Avilez,"CSC - Cascais Próxima – Gestão de Mobilidade, Espaços Urbanos e Energias, E.M. S.A","0.370","0.370","0.370","127","0","0","€0,37/charge ","","",Mennekes,"22",SOCKET,Disponível,Disponível
CSC-00109-01,Cascais,Rua Dom. Francisco de Avilez,"CSC - Cascais Próxima – Gestão de Mobilidade, Espaços Urbanos e Energias, E.M. S.A","0.370","0.370","0.370","127","0","0","€0,37/charge ","","",Mennekes,"22",SOCKET,Disponível,Em uso
CSC-00111-01,Cascais,Avenida da Republica,"CSC - Cascais Próxima – Gestão de Mobilidade, Espaços Urbanos e Energias, E.M. S.A","0.370","0.370","0.370","127","0","0","€0,37/charge ","","",Mennekes,"22",SOCKET,Disponível,Disponível
CSC-00111-02,Cascais,Avenida da Republica,"CSC - Cascais Próxima – Gestão de Mobilidade, Espaços Urbanos e Energias, E.M. S.A","0.370","0.370","0.370","127","0","0","€0,37/charge ","","",Mennekes,"22",SOCKET,Disponível,Disponível
AVR-90003-2,Aveiro,Rua do Príncipe Perfeito,EDP - EDP Comercial,"0.893","4.086","1.008","127","0","0","€0,007/min ","","",Mennekes,"22",SOCKET,Disponível,Disponível
AVR-90003-1,Aveiro,Rua do Príncipe Perfeito,EDP - EDP Comercial,"0.893","4.086","1.008","127","0","0","€0,007/min ","","",Mennekes,"22",SOCKET,Disponível,Em uso
CBR-90009-1,Coimbra,"Rua Flávio Rodrigues, AB",EDP - EDP Comercial,"0.893","4.086","1.008","127","0","0","€0,007/min ","","",Mennekes,"22",SOCKET,Disponível,Em uso
CBR-90009-2,Coimbra,"Rua Flávio Rodrigues, AB",EDP - EDP Comercial,"0.893","4.086","1.008","127","0","0","€0,007/min ","","",Mennekes,"22",SOCKET,Disponível,Disponível
FAR-90002-1,Faro,Avenida da República,EDP - EDP Comercial,"0.893","4.086","1.008","127","0","0","€0,007/min ","","",Mennekes,"22",SOCKET,Disponível,Disponível
FAR-90002-2,Faro,Avenida da República,EDP - EDP Comercial,"0.893","4.086","1.008","127","0","0","€0,007/min ","","",Mennekes,"22",SOCKET,Disponível,Disponível
LRA-90007-2,Leiria,Largo da República,EDP - EDP Comercial,"0.893","4.086","1.008","127","0","0","€0,007/min ","","",Mennekes,"22",SOCKET,Disponível,Disponível
LRA-90007-1,Leiria,Largo da República,EDP - EDP Comercial,"0.893","4.086","1.008","127","0","0","€0,007/min ","","",Mennekes,"22",SOCKET,Disponível,Disponível
LRS-90018-01,Loures,Praceta José Régio,EDP - EDP Comercial,"0.893","4.086","1.008","127","0","0","€0,007/min ","","",Mennekes,"22",SOCKET,Disponível,Em uso
LRS-90018-02,Loures,Praceta José Régio,EDP - EDP Comercial,"0.893","4.086","1.008","127","0","0","€0,007/min ","","",Mennekes,"22",SOCKET,Disponível,Disponível
LRS-90031-1,Loures,Rua Mouzinho de Albuquerque ,EDP - EDP Comercial,"0.893","4.086","1.008","127","0","0","€0,007/min ","","",Mennekes,"22",SOCKET,Disponível,Disponível
LRS-90031-2,Loures,Rua Mouzinho de Albuquerque ,EDP - EDP Comercial,"0.893","4.086","1.008","127","0","0","€0,007/min ","","",Mennekes,"22",SOCKET,Disponível,Em uso
LSB-90097-1,Lisboa,Campo Grande,EDP - EDP Comercial,"0.893","4.086","1.008","127","0","0","€0,007/min ","","",Mennekes,"22",SOCKET,Disponível,Disponível
LSB-90097-2,Lisboa,Campo Grande,EDP - EDP Comercial,"0.893","4.086","1.008","127","0","0","€0,007/min ","","",Mennekes,"22",SOCKET,Disponível,Disponível
STB-90006-2,Setúbal,Avenida Luísa Todi,EDP - EDP Comercial,"0.893","4.086","1.008","127","0","0","€0,007/min ","","",Mennekes,"22",SOCKET,Disponível,Disponível
STB-90006-1,Setúbal,Avenida Luísa Todi,EDP - EDP Comercial,"0.893","4.086","1.008","127","0","0","€0,007/min ","","",Mennekes,"22",SOCKET,Disponível,Em uso
VIS-90036-1,Viseu,Rua Silva Gaio,EDP - EDP Comercial,"0.893","4.086","1.008","127","0","0","€0,007/min ","","",Mennekes,"22",SOCKET,Disponível,Disponível
VIS-90036-2,Viseu,Rua Silva Gaio,EDP - EDP Comercial,"0.893","4.086","1.008","127","0","0","€0,007/min ","","",Mennekes,"22",SOCKET,Disponível,Em uso
VNG-80012-01,Vila Nova de Gaia,Alameda Senhor da Pedra,EDP - EDP Comercial,"0.893","4.086","1.008","127","0","0","€0,007/min ","","",Mennekes,"22",SOCKET,Disponível,Em uso
VNG-80012-02,Vila Nova de Gaia,Alameda Senhor da Pedra,EDP - EDP Comercial,"0.893","4.086","1.008","127","0","0","€0,007/min ","","",Mennekes,"22",SOCKET,Disponível,Disponível
VNG-90006-01,Vila Nova de Gaia,Rua Afonso de Albuquerque,EDP - EDP Comercial,"0.893","4.086","1.008","127","0","0","€0,007/min ","","",Mennekes,"22",SOCKET,Disponível,Disponível
VNG-90006-02,Vila Nova de Gaia,Rua Afonso de Albuquerque,EDP - EDP Comercial,"0.893","4.086","1.008","127","0","0","€0,007/min ","","",Mennekes,"22",SOCKET,Disponível,Disponível
VRL-90004-1,Vila Real,Avenida da Universidade,EDP - EDP Comercial,"0.893","4.086","1.008","127","0","0","€0,007/min ","","",Mennekes,"22",SOCKET,Disponível,Disponível
VRL-90004-2,Vila Real,Avenida da Universidade,EDP - EDP Comercial,"0.893","4.086","1.008","127","0","0","€0,007/min ","","",Mennekes,"22",SOCKET,Disponível,Fora de Serviço
GMR-00064-01,Guimarães,"Av. Conde Margaride,face ao Hotel Ibis",HEX - Hexagonal Ocean,"0.998","3.215","1.376","140","0","0","€0,296/charge ","€0,005/min ","",Mennekes,"20",SOCKET,Disponível,Em uso
GMR-00064-02,Guimarães,"Av. Conde Margaride,face ao Hotel Ibis",HEX - Hexagonal Ocean,"0.998","3.215","1.376","140","0","0","€0,296/charge ","€0,005/min ","",Mennekes,"20",SOCKET,Disponível,Disponível
GMR-00067-01,Guimarães,Praça Heróis da Fundação,HEX - Hexagonal Ocean,"0.998","3.215","1.376","140","0","0","€0,296/charge ","€0,005/min ","",Mennekes,"20",SOCKET,Disponível,Disponível
GMR-00067-02,Guimarães,Praça Heróis da Fundação,HEX - Hexagonal Ocean,"0.998","3.215","1.376","140","0","0","€0,296/charge ","€0,005/min ","",Mennekes,"20",SOCKET,Disponível,Disponível
BGC-90003-2,Bragança,Avenida Sá Carneiro,GLP - Galp,"1.366","6.246","1.541","127","0","0","€0,0107/min ","","",Mennekes,"22",SOCKET,Disponível,Disponível
BGC-90003-1,Bragança,Avenida Sá Carneiro,GLP - Galp,"1.366","6.246","1.541","127","0","0","€0,0107/min ","","",Mennekes,"22",SOCKET,Disponível,Disponível
LRS-90023-2,Lisboa,Alameda dos Oceanos,GLP - Galp,"1.366","6.246","1.541","127","0","0","€0,0107/min ","","",Mennekes,"22",SOCKET,Disponível,Disponível
LRS-90023-1,Lisboa,Alameda dos Oceanos,GLP - Galp,"1.366","6.246","1.541","127","0","0","€0,0107/min ","","",Mennekes,"22",SOCKET,Disponível,Em uso
VIS-90038-2,Viseu,Largo Major Teles,GLP - Galp,"1.366","6.246","1.541","127","0","0","€0,0107/min ","","",Mennekes,"22",SOCKET,Disponível,Disponível
VIS-90038-1,Viseu,Largo Major Teles,GLP - Galp,"1.366","6.246","1.541","127","0","0","€0,0107/min ","","",Mennekes,"22",SOCKET,Disponível,Disponível
ALM-90010-2,Almada,Praça João Raimundo,GLP - Galp,"1.493","6.830","1.685","127","0","0","€0,0117/min ","","",Mennekes,"22",SOCKET,Disponível,Disponível
ALM-90010-1,Almada,Praça João Raimundo,GLP - Galp,"1.493","6.830","1.685","127","0","0","€0,0117/min ","","",Mennekes,"22",SOCKET,Disponível,Em uso
CBR-90002-01,Coimbra,Rua General Humberto Delgado,GLP - Galp,"1.493","6.830","1.685","127","0","0","€0,0117/min ","","",Mennekes,"22",SOCKET,Disponível,Disponível
CBR-90002-02,Coimbra,Rua General Humberto Delgado,GLP - Galp,"1.493","6.830","1.685","127","0","0","€0,0117/min ","","",Mennekes,"22",SOCKET,Disponível,Disponível
FAR-90004-2,Faro,Largo Francisco Sá Carneiro,GLP - Galp,"1.493","6.830","1.685","127","0","0","€0,0117/min ","","",Mennekes,"22",SOCKET,Disponível,Disponível
FAR-90004-1,Faro,Largo Francisco Sá Carneiro,GLP - Galp,"1.493","6.830","1.685","127","0","0","€0,0117/min ","","",Mennekes,"22",SOCKET,Disponível,Disponível
LSB-90151-2,Lisboa,Rua 3 da Matinha,GLP - Galp,"1.493","6.830","1.685","127","0","0","€0,0117/min ","","",Mennekes,"22",SOCKET,Disponível,Disponível
LSB-90151-1,Lisboa,Rua 3 da Matinha,GLP - Galp,"1.493","6.830","1.685","127","0","0","€0,0117/min ","","",Mennekes,"22",SOCKET,Disponível,Disponível
SNT-90007-2,Sintra,Rua Nossa Senhora da Praia,GLP - Galp,"1.493","6.830","1.685","127","0","0","€0,0117/min ","","",Mennekes,"22",SOCKET,Disponível,Disponível
SNT-90007-1,Sintra,Rua Nossa Senhora da Praia,GLP - Galp,"1.493","6.830","1.685","127","0","0","€0,0117/min ","","",Mennekes,"22",SOCKET,Disponível,Disponível
VNG-90014-01,Vila Nova de Gaia,Rua Principal,GLP - Galp,"1.493","6.830","1.685","127","0","0","€0,0117/min ","","",Mennekes,"22",SOCKET,Disponível,Disponível
