UID DA TOMADA,CIDADE,MORADA,OPERADOR,CCS2 Custo €,TYPE2 7kW Custo €,TYPE2 22kW Custo €,Duração (minutos) até 130kW,Duração (minutos) até 7kW,Duração (minutos) até 22kW,POTÊNCIA DA TOMADA (kW),TARIFA 1,TARIFA 2,TARIFA 3,TIPO DE TOMADA,FORMATO DA TOMADA,ESTADO DO POSTO,ESTADO DA TOMADA
PRT-90086-1,Porto,Rua Ofélia Diogo da Costa,EDP - EDP Comercial,0.893,4.086,1.008,127,583,144,22.0,"€0,007/min ",,,Mennekes,SOCKET,Disponível,Disponível
VNG-90006-01,Vila Nova de Gaia,Rua Afonso de Albuquerque,EDP - EDP Comercial,0.893,4.086,1.008,127,583,144,22.0,"€0,007/min ",,,Mennekes,SOCKET,Disponível,Disponível
VNG-90006-02,Vila Nova de Gaia,Rua Afonso de Albuquerque,EDP - EDP Comercial,0.893,4.086,1.008,127,583,144,22.0,"€0,007/min ",,,Mennekes,SOCKET,Disponível,Disponível
MTS-00042-02,Matosinhos,Rua Fonte das Sete Bicas,GLP - Galp,0.982,11.353,2.997,37,583,144,74.0,"€0,2608/charge ","€0,019/min ",,Mennekes,SOCKET,Disponível,Disponível
MTS-00042-01,Matosinhos,Rua Fonte das Sete Bicas,GLP - Galp,0.982,11.353,2.997,37,583,144,74.0,"€0,2608/charge ","€0,019/min ",,Mennekes,SOCKET,Disponível,Disponível
MTS-00067-01,Matosinhos,Av. Dr. Óscar Lopes,GLP - Galp,0.982,11.353,2.997,37,583,144,74.0,"€0,2608/charge ","€0,019/min ",,Mennekes,SOCKET,Disponível,Disponível
MTS-00067-02,Matosinhos,Av. Dr. Óscar Lopes,GLP - Galp,0.982,11.353,2.997,37,583,144,74.0,"€0,2608/charge ","€0,019/min ",,Mennekes,SOCKET,Disponível,Disponível
MTS-00068-02,Matosinhos,Av. Dr. Óscar Lopes,GLP - Galp,0.982,11.353,2.997,37,583,144,74.0,"€0,2608/charge ","€0,019/min ",,Mennekes,SOCKET,Disponível,Disponível
MTS-00068-01,Matosinhos,Av. Dr. Óscar Lopes,GLP - Galp,0.982,11.353,2.997,37,583,144,74.0,"€0,2608/charge ","€0,019/min ",,Mennekes,SOCKET,Disponível,Disponível
MTS-00069-01,Matosinhos,Av. Dr. Óscar Lopes,GLP - Galp,0.982,11.353,2.997,37,583,144,74.0,"€0,2608/charge ","€0,019/min ",,Mennekes,SOCKET,Disponível,Disponível
MTS-00069-02,Matosinhos,Av. Dr. Óscar Lopes,GLP - Galp,0.982,11.353,2.997,37,583,144,74.0,"€0,2608/charge ","€0,019/min ",,Mennekes,SOCKET,Disponível,Disponível
MTS-00070-02,Matosinhos,Av. Dr. Óscar Lopes,GLP - Galp,0.982,11.353,2.997,37,583,144,74.0,"€0,2608/charge ","€0,019/min ",,Mennekes,SOCKET,Disponível,Disponível
MTS-00070-01,Matosinhos,Av. Dr. Óscar Lopes,GLP - Galp,0.982,11.353,2.997,37,583,144,74.0,"€0,2608/charge ","€0,019/min ",,Mennekes,SOCKET,Disponível,Disponível
MTS-00071-02,Matosinhos,Av. Dr. Óscar Lopes,GLP - Galp,0.982,11.353,2.997,37,583,144,74.0,"€0,2608/charge ","€0,019/min ",,Mennekes,SOCKET,Disponível,Disponível
MTS-00071-01,Matosinhos,Av. Dr. Óscar Lopes,GLP - Galp,0.982,11.353,2.997,37,583,144,74.0,"€0,2608/charge ","€0,019/min ",,Mennekes,SOCKET,Disponível,Disponível
MTS-00072-02,Matosinhos,Av. Dr. Óscar Lopes,GLP - Galp,0.982,11.353,2.997,37,583,144,74.0,"€0,2608/charge ","€0,019/min ",,Mennekes,SOCKET,Disponível,Disponível
MTS-00072-01,Matosinhos,Av. Dr. Óscar Lopes,GLP - Galp,0.982,11.353,2.997,37,583,144,74.0,"€0,2608/charge ","€0,019/min ",,Mennekes,SOCKET,Disponível,Disponível
MTS-00073-02,Matosinhos,Av. Dr. Óscar Lopes,GLP - Galp,0.982,11.353,2.997,37,583,144,74.0,"€0,2608/charge ","€0,019/min ",,Mennekes,SOCKET,Disponível,Em uso
MTS-00073-01,Matosinhos,Av. Dr. Óscar Lopes,GLP - Galp,0.982,11.353,2.997,37,583,144,74.0,"€0,2608/charge ","€0,019/min ",,Mennekes,SOCKET,Disponível,Disponível
MTS-00081-01,Matosinhos,Av. Dr. Óscar Lopes,GLP - Galp,0.982,11.353,2.997,37,583,144,74.0,"€0,2608/charge ","€0,019/min ",,Mennekes,SOCKET,Disponível,Disponível
MTS-00081-02,Matosinhos,Av. Dr. Óscar Lopes,GLP - Galp,0.982,11.353,2.997,37,583,144,74.0,"€0,2608/charge ","€0,019/min ",,Mennekes,SOCKET,Disponível,Em uso
PRT-00121-01,Porto,Estrada da Circunvalação,GLP - Galp,0.982,11.353,2.997,37,583,144,74.0,"€0,2608/charge ","€0,019/min ",,Mennekes,SOCKET,Disponível,Disponível
PRT-00121-02,Porto,Estrada da Circunvalação,GLP - Galp,0.982,11.353,2.997,37,583,144,74.0,"€0,2608/charge ","€0,019/min ",,Mennekes,SOCKET,Disponível,Disponível
PRT-00122-02,Porto,Praça do Bom Sucesso 123,GLP - Galp,0.982,11.353,2.997,37,583,144,74.0,"€0,2608/charge ","€0,019/min ",,Mennekes,SOCKET,Disponível,Disponível
PRT-00122-01,Porto,Praça do Bom Sucesso 123,GLP - Galp,0.982,11.353,2.997,37,583,144,74.0,"€0,2608/charge ","€0,019/min ",,Mennekes,SOCKET,Disponível,Disponível
VNG-00036-02,Vila Nova de Gaia,Makro Vila Nova de Gaia,GLP - Galp,0.982,11.353,2.997,37,583,144,74.0,"€0,2608/charge ","€0,019/min ",,Mennekes,SOCKET,Disponível,Disponível
VNG-00036-01,Vila Nova de Gaia,Makro Vila Nova de Gaia,GLP - Galp,0.982,11.353,2.997,37,583,144,74.0,"€0,2608/charge ","€0,019/min ",,Mennekes,SOCKET,Disponível,Disponível
GDM-00025-01,Gondomar,"Praceta Parque Nascente, 35",EDP - EDP Comercial,1.056,11.973,3.177,37,583,144,74.0,"€0,297/charge ","€0,02/min ",,Mennekes,SOCKET,Disponível,Disponível
GDM-00025-02,Gondomar,"Praceta Parque Nascente, 35",EDP - EDP Comercial,1.056,11.973,3.177,37,583,144,74.0,"€0,297/charge ","€0,02/min ",,Mennekes,SOCKET,Disponível,Em uso
GDM-00026-01,Gondomar,"Praceta Parque Nascente, 35",EDP - EDP Comercial,1.056,11.973,3.177,37,583,144,74.0,"€0,297/charge ","€0,02/min ",,Mennekes,SOCKET,Disponível,Disponível
GDM-00026-02,Gondomar,"Praceta Parque Nascente, 35",EDP - EDP Comercial,1.056,11.973,3.177,37,583,144,74.0,"€0,297/charge ","€0,02/min ",,Mennekes,SOCKET,Disponível,Disponível
PRT-00021-1,Porto,R. de Dom Manuel II,LOG - Logical Gravity,1.059,11.976,3.180,37,583,144,74.0,"€0,3/charge ","€0,02/min ",,Mennekes,SOCKET,Disponível,Disponível
PRT-00187-1,Porto,RUA D MANUEL II,LOG - Logical Gravity,1.059,11.976,3.180,37,583,144,74.0,"€0,3/charge ","€0,02/min ",,Mennekes,SOCKET,Disponível,Disponível
PRT-00145-01,Porto,"Tv. de Antero de Quental, 360",HRZ - Power dot,1.249,14.895,3.900,37,583,144,74.0,"€0,3/charge ","€0,025/min ",,Mennekes,SOCKET,Disponível,Disponível
PRT-00145-02,Porto,"Tv. de Antero de Quental, 360",HRZ - Power dot,1.249,14.895,3.900,37,583,144,74.0,"€0,3/charge ","€0,025/min ",,Mennekes,SOCKET,Disponível,Disponível
PRT-00119-1,Porto,Universidade Católica Portuguesa,MOT - Renewing,2.061,3.261,3.261,127,583,144,22.0,"€0,2608/charge ","€0,05/kWh ",€0/min ,Mennekes,SOCKET,Disponível,Disponível
PRT-00120-1,Porto,Universidade Católica Portuguesa,MOT - Renewing,2.061,3.261,3.261,127,583,144,22.0,"€0,2608/charge ","€0,05/kWh ",€0/min ,Mennekes,SOCKET,Disponível,Disponível
PRT-00117-1,Porto,Universidade Católica Portuguesa,MOT - Renewing,2.061,3.261,3.261,255,583,360,11.0,"€0,2608/charge ","€0,05/kWh ",€0/min ,Mennekes,SOCKET,Disponível,Disponível
PRT-00118-1,Porto,Universidade Católica Portuguesa,MOT - Renewing,2.061,3.261,3.261,255,583,360,11.0,"€0,2608/charge ","€0,05/kWh ",€0/min ,Mennekes,SOCKET,Disponível,Disponível
VNG-00035-2,Vila Nova de Gaia,R. 28 de Janeiro,KLC - Atlante,2.211,9.053,2.456,127,583,144,22.0,"€0,2964/charge ","€0,015/min ",,Mennekes,SOCKET,Disponível,Disponível
VNG-00035-1,Vila Nova de Gaia,R. 28 de Janeiro,KLC - Atlante,2.211,9.053,2.456,127,583,144,22.0,"€0,2964/charge ","€0,015/min ",,Mennekes,SOCKET,Disponível,Disponível
VNG-00069-02,Vila Nova de Gaia,Rua 28 de Janeiro 350,KLC - Atlante,2.211,9.053,2.456,127,583,144,22.0,"€0,2964/charge ","€0,015/min ",,Mennekes,CABLE,Disponível,Disponível
VNG-00069-01,Vila Nova de Gaia,Rua 28 de Janeiro 350,KLC - Atlante,2.211,9.053,2.456,127,583,144,22.0,"€0,2964/charge ","€0,015/min ",,Mennekes,SOCKET,Disponível,Disponível
GDM-00023-02,Gondomar,"Praceta Parque Nascente, 35",EDP - EDP Comercial,2.212,9.054,2.457,127,583,144,22.0,"€0,297/charge ","€0,015/min ",,Mennekes,SOCKET,Disponível,Em uso
GDM-00023-01,Gondomar,"Praceta Parque Nascente, 35",EDP - EDP Comercial,2.212,9.054,2.457,127,583,144,22.0,"€0,297/charge ","€0,015/min ",,Mennekes,SOCKET,Disponível,Disponível
GDM-00024-02,Gondomar,"Praceta Parque Nascente, 35",EDP - EDP Comercial,2.212,9.054,2.457,127,583,144,22.0,"€0,297/charge ","€0,015/min ",,Mennekes,SOCKET,Disponível,Disponível
GDM-00024-01,Gondomar,"Praceta Parque Nascente, 35",EDP - EDP Comercial,2.212,9.054,2.457,127,583,144,22.0,"€0,297/charge ","€0,015/min ",,Mennekes,SOCKET,Disponível,Disponível
GDM-00005-1,Gondomar,Rua Joaquim Ribeiro,IBD - Iberdrola,2.553,11.676,2.880,127,583,144,22.0,"€0,02/min ",,,Mennekes,SOCKET,Disponível,Disponível
MAI-00016-1,Maia,Av. Eng. José Afonso Moreira de Figueiredo,IBD - Iberdrola,2.553,11.676,2.880,127,583,144,22.0,"€0,02/min ",,,Mennekes,SOCKET,Disponível,Disponível
MAI-00016-2,Maia,Av. Eng. José Afonso Moreira de Figueiredo,IBD - Iberdrola,2.553,11.676,2.880,127,583,144,22.0,"€0,02/min ",,,Mennekes,SOCKET,Disponível,Em uso
MTS-00033-1,Matosinhos,Rua Sousa Aroso,IBD - Iberdrola,2.553,11.676,2.880,127,583,144,22.0,"€0,02/min ",,,Mennekes,SOCKET,Disponível,Disponível
MTS-00039-01,Matosinhos,Rua Veloso Salgado,IBD - Iberdrola,2.553,11.676,2.880,127,583,144,22.0,"€0,02/min ",,,Mennekes,SOCKET,Disponível,Disponível
MTS-00039-02,Matosinhos,Rua Veloso Salgado,IBD - Iberdrola,2.553,11.676,2.880,127,583,144,22.0,"€0,02/min ",,,Mennekes,SOCKET,Disponível,Em uso
PRT-00069-1,Porto,Rua Gen. Norton de Matos,IBD - Iberdrola,2.553,11.676,2.880,127,583,144,22.0,"€0,02/min ",,,Mennekes,SOCKET,Disponível,Disponível
PRT-00070-1,Porto,Rua Gen. Norton de Matos,IBD - Iberdrola,2.553,11.676,2.880,127,583,144,22.0,"€0,02/min ",,,Mennekes,SOCKET,Disponível,Disponível
PRT-00071-02,Porto,Rua São Roque da Lameira,IBD - Iberdrola,2.553,11.676,2.880,127,583,144,22.0,"€0,02/min ",,,Mennekes,SOCKET,Disponível,Disponível
PRT-00071-01,Porto,Rua São Roque da Lameira,IBD - Iberdrola,2.553,11.676,2.880,127,583,144,22.0,"€0,02/min ",,,Mennekes,SOCKET,Disponível,Disponível
VLG-00007-1,Valongo,Rua José Joaquim Ribeiro Teles,IBD - Iberdrola,2.553,11.676,2.880,127,583,144,22.0,"€0,02/min ",,,Mennekes,SOCKET,Disponível,Disponível
VLG-00013-02,Valongo,Avenida Oliveira Zina,IBD - Iberdrola,2.553,11.676,2.880,127,583,144,22.0,"€0,02/min ",,,Mennekes,SOCKET,Disponível,Disponível
VLG-00013-01,Valongo,Avenida Oliveira Zina,IBD - Iberdrola,2.553,11.676,2.880,127,583,144,22.0,"€0,02/min ",,,Mennekes,SOCKET,Disponível,Disponível
VLG-90001-02,Valongo,R. Emídio Navarro,EDP - EDP Comercial,2.553,11.676,2.880,127,583,144,22.0,"€0,02/min ",,,Mennekes,SOCKET,Disponível,Disponível
VLG-90001-01,Valongo,R. Emídio Navarro,EDP - EDP Comercial,2.553,11.676,2.880,127,583,144,22.0,"€0,02/min ",,,Mennekes,SOCKET,Disponível,Disponível
VNG-00056-1,Vila Nova de Gaia,Rua Do Emissor,IBD - Iberdrola,2.553,11.676,2.880,127,583,144,22.0,"€0,02/min ",,,Mennekes,SOCKET,Disponível,Disponível
PRT-00094-1,Porto,Rua do Elísio e do Almada,EDP - EDP Comercial,2.574,17.811,4.617,75,583,144,37.0,"€0,297/charge ","€0,03/min ",,Mennekes,SOCKET,Disponível,Disponível
PRT-00095-1,Porto,Rua do Elísio e do Almada,EDP - EDP Comercial,2.574,17.811,4.617,75,583,144,37.0,"€0,297/charge ","€0,03/min ",,Mennekes,SOCKET,Disponível,Disponível
