UID DA TOMADA,CIDADE,MORADA,OPERADOR,TYPE2 22kW Custo €,Duração (minutos) até 22kW,POTÊNCIA DA TOMADA (kW),TARIFA 1,TARIFA 2,TARIFA 3,FORMATO DA TOMADA,ESTADO DA TOMADA
LRA-00049-02,Leiria,Largo Infantaria 7,HRZ - Power dot,5.340,144,22,"€0,3/charge ","€0,035/min ",,SOCKET,Disponível
LRA-00021-03,Leiria,Rua Vale de Lobos,KLC - Atlante,11.520,144,43,"€0,08/min ",,,CABLE,Disponível
LRA-00060-01,Leiria,Avenida 25 de Abril – Bairro de São Francisco,KLC - Atlante,11.520,144,22,"€0,08/min ",,,CABLE,Disponível
LRA-00018-03,Leiria,Rua dos Parceiros,IBD - Iberdrola,14.660,144,43,"€0,26/charge ","€0,1/min ",,SOCKET,Disponível
MGR-00007-03,Marinha Grande,R. Jornal da M.nha Grande 3,KLC - Atlante,14.696,144,22,"€0,2964/charge ","€0,1/min ",,CABLE,Disponível
LRA-00014-3,Leiria,Rua da Maceira,EDP - EDP Comercial,14.697,144,43,"€0,297/charge ","€0,1/min ",,CABLE,Disponível
MGR-00003-03,Marinha Grande,Posto de Abastecimento BP Embra,EDP - EDP Comercial,14.697,144,22,"€0,297/charge ","€0,1/min ",,CABLE,Disponível
LRA-00032-03,Leiria,Travessa Rua das Olhalvas,HRZ - Power dot,14.700,144,43,"€0,3/charge ","€0,1/min ",,CABLE,Disponível
LRA-00071-03,Leiria,Rua da Baquelite Carregal,HRZ - Power dot,14.700,144,43,"€0,3/charge ","€0,1/min ",,CABLE,Disponível
LRA-00074-03,Leiria,R. Outeiro do Pomar,HRZ - Power dot,14.700,144,22,"€0,3/charge ","€0,1/min ",,SOCKET,Disponível
LRA-00061-02,Leiria,Rua da Serrada Nova,HRZ - Power dot,17.220,144,22,"€0,3/charge ","€0,09/kWh ","€0,08/min ",SOCKET,Disponível
LRA-00016-03,Leiria,Avenida da Comunidade Europeia,GLG - Galpgeste,17.541,144,43,"€0,2608/charge ","€0,12/min ",,CABLE,Disponível
LRA-00088-03,Leiria,"A1 km 125,7 (Sentido Norte/Sul)",PRP - Propel - Produto do Petróleo,21.861,144,43,"€0,2608/charge ","€0,15/min ",,CABLE,Disponível
LRA-00089-03,Leiria,"A1 km 125,7 (Sentido Sul/Norte)",PRP - Propel - Produto do Petróleo,21.861,144,43,"€0,2608/charge ","€0,15/min ",,CABLE,Disponível
