UID DA TOMADA,CIDADE,MORADA,OPERADOR,TYPE2 7kW Custo €,Duração (minutos) até 7kW,POTÊNCIA DA TOMADA (kW),TARIFA 1,TARIFA 2,TARIFA 3,FORMATO DA TOMADA,ESTADO DA TOMADA
LRA-00023-02,Leiria,Rua do Pisão,HRZ - Power dot,20.732,583,22,"€0,3/charge ","€0,035/min ",,SOCKET,Disponível
LRA-00023-01,Leiria,Rua do Pisão,HRZ - Power dot,20.732,583,22,"€0,3/charge ","€0,035/min ",,SOCKET,Disponível
LRA-00024-02,Leiria,Rua da Cooperativa,HRZ - Power dot,20.732,583,22,"€0,3/charge ","€0,035/min ",,SOCKET,Disponível
LRA-00024-01,Leiria,Rua da Cooperativa,HRZ - Power dot,20.732,583,22,"€0,3/charge ","€0,035/min ",,SOCKET,Disponível
LRA-00048-01,Leiria,Largo Infantaria 7,HRZ - Power dot,20.732,583,22,"€0,3/charge ","€0,035/min ",,SOCKET,Disponível
LRA-00048-02,Leiria,Largo Infantaria 7,HRZ - Power dot,20.732,583,22,"€0,3/charge ","€0,035/min ",,SOCKET,Disponível
LRA-00049-01,Leiria,Largo Infantaria 7,HRZ - Power dot,20.732,583,22,"€0,3/charge ","€0,035/min ",,SOCKET,Disponível
LRA-00049-02,Leiria,Largo Infantaria 7,HRZ - Power dot,20.732,583,22,"€0,3/charge ","€0,035/min ",,SOCKET,Disponível
LRA-00021-03,Leiria,Rua Vale de Lobos,KLC - Atlante,46.703,583,43,"€0,08/min ",,,CABLE,Disponível
LRA-00060-01,Leiria,Avenida 25 de Abril – Bairro de São Francisco,KLC - Atlante,46.703,583,22,"€0,08/min ",,,CABLE,Disponível
LRA-00061-02,Leiria,Rua da Serrada Nova,HRZ - Power dot,52.403,583,22,"€0,3/charge ","€0,09/kWh ","€0,08/min ",SOCKET,Disponível
LRA-00018-03,Leiria,Rua dos Parceiros,IBD - Iberdrola,58.638,583,43,"€0,26/charge ","€0,1/min ",,SOCKET,Disponível
MGR-00007-03,Marinha Grande,R. Jornal da M.nha Grande 3,KLC - Atlante,58.675,583,22,"€0,2964/charge ","€0,1/min ",,CABLE,Disponível
LRA-00014-3,Leiria,Rua da Maceira,EDP - EDP Comercial,58.675,583,43,"€0,297/charge ","€0,1/min ",,CABLE,Disponível
MGR-00003-03,Marinha Grande,Posto de Abastecimento BP Embra,EDP - EDP Comercial,58.675,583,22,"€0,297/charge ","€0,1/min ",,CABLE,Disponível
LRA-00032-03,Leiria,Travessa Rua das Olhalvas,HRZ - Power dot,58.678,583,43,"€0,3/charge ","€0,1/min ",,CABLE,Disponível
LRA-00071-03,Leiria,Rua da Baquelite Carregal,HRZ - Power dot,58.678,583,43,"€0,3/charge ","€0,1/min ",,CABLE,Disponível
LRA-00074-03,Leiria,R. Outeiro do Pomar,HRZ - Power dot,58.678,583,22,"€0,3/charge ","€0,1/min ",,SOCKET,Disponível
LRA-00016-03,Leiria,Avenida da Comunidade Europeia,GLG - Galpgeste,70.315,583,43,"€0,2608/charge ","€0,12/min ",,CABLE,Disponível
LRA-00088-03,Leiria,"A1 km 125,7 (Sentido Norte/Sul)",PRP - Propel - Produto do Petróleo,87.828,583,43,"€0,2608/charge ","€0,15/min ",,CABLE,Disponível
LRA-00089-03,Leiria,"A1 km 125,7 (Sentido Sul/Norte)",PRP - Propel - Produto do Petróleo,87.828,583,43,"€0,2608/charge ","€0,15/min ",,CABLE,Disponível
